National,Province,District,Municipality,pcode
Nepal,Koshi,Taplejung,Aathrai_Tribeni,10105
Nepal,Koshi,Taplejung,Maiwakhola,10104
Nepal,Koshi,Taplejung,Meringden,10103
Nepal,Koshi,Taplejung,Mikwakhola,10102
Nepal,Koshi,Taplejung,Phaktanglung,10101
Nepal,Koshi,Taplejung,Phungling,10106
Nepal,Koshi,Taplejung,Sidingba,10109
Nepal,Koshi,Taplejung,Sirijangha,10108
Nepal,Koshi,Taplejung,Yangwaraka,10107
Nepal,Koshi,Sankhuwasabha,Bhotkhola,10201
Nepal,Koshi,Sankhuwasabha,Chainpur,10208
Nepal,Koshi,Sankhuwasabha,Chichila,10204
Nepal,Koshi,Sankhuwasabha,Dharmadevi,10210
Nepal,Koshi,Sankhuwasabha,Khandbari,10206
Nepal,Koshi,Sankhuwasabha,Madi_San,10209
Nepal,Koshi,Sankhuwasabha,Makalu,10202
Nepal,Koshi,Sankhuwasabha,Panchakhapan,10207
Nepal,Koshi,Sankhuwasabha,Sabhapokhari,10205
Nepal,Koshi,Sankhuwasabha,Silichong,10203
Nepal,Koshi,Solukhumbu,Dudhakaushika,10305
Nepal,Koshi,Solukhumbu,Dudhkoshi,10304
Nepal,Koshi,Solukhumbu,Khumbu_Pasang_Lhamu,10301
Nepal,Koshi,Solukhumbu,Likhu_Pike,10308
Nepal,Koshi,Solukhumbu,Maha_Kulung,10302
Nepal,Koshi,Solukhumbu,Necha_Salyan,10306
Nepal,Koshi,Solukhumbu,Solududhkunda,10307
Nepal,Koshi,Solukhumbu,Sotang,10303
Nepal,Koshi,Okhaldhunga,Champadevi,10406
Nepal,Koshi,Okhaldhunga,Chisankhugadhi,10401
Nepal,Koshi,Okhaldhunga,Khiji_Demba,10404
Nepal,Koshi,Okhaldhunga,Likhu_Okh,10405
Nepal,Koshi,Okhaldhunga,Manebhanjyang,10408
Nepal,Koshi,Okhaldhunga,Molung,10403
Nepal,Koshi,Okhaldhunga,Siddhicharan,10402
Nepal,Koshi,Okhaldhunga,Sunakoshi,10407
Nepal,Koshi,Khotang,Aiselukharka,10502
Nepal,Koshi,Khotang,Barahpokhari,10510
Nepal,Koshi,Khotang,Diprung,10507
Nepal,Koshi,Khotang,Halesi_Tuwachung,10504
Nepal,Koshi,Khotang,Jantedhunga,10509
Nepal,Koshi,Khotang,Kepilasgadhi,10501
Nepal,Koshi,Khotang,Khotehang,10508
Nepal,Koshi,Khotang,Lamidanda,10503
Nepal,Koshi,Khotang,Rupakot_Majhuwagadhi,10505
Nepal,Koshi,Khotang,Sakela,10506
Nepal,Koshi,Bhojpur,Aamchok,10609
Nepal,Koshi,Bhojpur,Arun_Gaunpalika,10605
Nepal,Koshi,Bhojpur,Bhojpur,10604
Nepal,Koshi,Bhojpur,Hatuwagadhi,10608
Nepal,Koshi,Bhojpur,Pauwadungma,10606
Nepal,Koshi,Bhojpur,Ramprasad_Rai,10607
Nepal,Koshi,Bhojpur,Salpasilichho,10602
Nepal,Koshi,Bhojpur,Shadanand,10601
Nepal,Koshi,Bhojpur,Tyamke_Maiyunm,10603
Nepal,Koshi,Dhankuta,Chaubise,10707
Nepal,Koshi,Dhankuta,Chhathar_Jorpati,10703
Nepal,Koshi,Dhankuta,Dhankuta,10704
Nepal,Koshi,Dhankuta,Mahalaxmi_Dkt,10701
Nepal,Koshi,Dhankuta,Pakhribas,10702
Nepal,Koshi,Dhankuta,Sangurigadhi,10706
Nepal,Koshi,Dhankuta,Shahidbhumi,10705
Nepal,Koshi,Terhathum,Aathrai,10801
Nepal,Koshi,Terhathum,Chhathar,10806
Nepal,Koshi,Terhathum,Laligurans,10805
Nepal,Koshi,Terhathum,Menchhayayem,10803
Nepal,Koshi,Terhathum,Myanglung,10804
Nepal,Koshi,Terhathum,Phedap,10802
Nepal,Koshi,Panchthar,Hilihang,10902
Nepal,Koshi,Panchthar,Kummayak,10906
Nepal,Koshi,Panchthar,Miklajung_Pthar,10908
Nepal,Koshi,Panchthar,Phalelung,10903
Nepal,Koshi,Panchthar,Phalgunanda,10905
Nepal,Koshi,Panchthar,Phidim,10904
Nepal,Koshi,Panchthar,Tumwewa,10907
Nepal,Koshi,Panchthar,Yangwarak,10901
Nepal,Koshi,Ilam,Chulachuli,11007
Nepal,Koshi,Ilam,Deumai,11004
Nepal,Koshi,Ilam,Ilam,11003
Nepal,Koshi,Ilam,Mai,11008
Nepal,Koshi,Ilam,Maijogmai,11001
Nepal,Koshi,Ilam,Mangsebung,11006
Nepal,Koshi,Ilam,Phakphokthum,11005
Nepal,Koshi,Ilam,Rong,11010
Nepal,Koshi,Ilam,Sandakpur,11002
