"id","name","shortName","path","code"
"TnT6m8FZEet","10101 Phaktanlung Rural Municipality","Phaktanlung Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/BdLcDbLQd88/TnT6m8FZEet","10101"
"gIhVZulvEsV","10102 Mikwakhola Rural Municipality","Mikwakhola Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/BdLcDbLQd88/gIhVZulvEsV","10102"
"dcsJaeSXHa6","10103 Meringden Rural Municipality","Meringden Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/BdLcDbLQd88/dcsJaeSXHa6","10103"
"zce1OaOO6G0","10104 Maiwakhola Rural Municipality","Maiwakhola Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/BdLcDbLQd88/zce1OaOO6G0","10104"
"zGGY6Sw9Uuw","10105 Aatharai Tribeni Rural Municipality","Aatharai Tribeni Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/BdLcDbLQd88/zGGY6Sw9Uuw","10105"
"gIwoGLpdBl1","10106 Phungling Municipality","Phungling Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/BdLcDbLQd88/gIwoGLpdBl1","10106"
"FpflD8BqlMO","10107 Yangwarak Rural Municipality","Yangwarak Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/BdLcDbLQd88/FpflD8BqlMO","10107"
"LDhcTMEQwFc","10108 Sirijanga Rural Municipality","Sirijanga Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/BdLcDbLQd88/LDhcTMEQwFc","10108"
"xRUd1elou25","10109 Sidingba Rural Municipality","Sidingba Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/BdLcDbLQd88/xRUd1elou25","10109"
"FJI9kFuS86i","10201 Bhotkhola Rural Municipality","Bhotkhola Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/FJI9kFuS86i","10201"
"hGD6CIUUSxR","10202 Makalu Rural Municipality","Makalu Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/hGD6CIUUSxR","10202"
"X3rzE53ksA1","10203 Silichong Rural Municipality","Silichong Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/X3rzE53ksA1","10203"
"gZbwskTTWq8","10204 Chichila Rural Municipality","Chichila Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/gZbwskTTWq8","10204"
"iujDcxElwWs","10205 Sabhapokhari Rural Municipality","Sabhapokhari Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/iujDcxElwWs","10205"
"XLjQzv0rxIP","10206 Khandabari Municipality","Khandabari Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/XLjQzv0rxIP","10206"
"O83QKtwuJWq","10207 Panchakhapan Municipality","Panchakhapan Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/O83QKtwuJWq","10207"
"SmI574YhzLn","10208 Chainapur Municipality","Chainapur Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/SmI574YhzLn","10208"
"mQLICcbzzGj","10209 Madi Municipality","Madi Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/mQLICcbzzGj","10209"
"Za9amWOWD4I","10210 Dharmadevi Municipality","Dharmadevi Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/uHEl9oRZm8L/Za9amWOWD4I","10210"
"aCFDSXlmccd","10301 Khumbu Pasanglhamu Rural Municipality","Khumbu Pasanglhamu Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/Wep3D4POB3H/aCFDSXlmccd","10301"
"XG7X38Ke2bh","10302 Mahakulung Rural Municipality","Mahakulung Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/Wep3D4POB3H/XG7X38Ke2bh","10302"
"dg95KkHSYuU","10303 Sotang Rural Municipality","Sotang Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/Wep3D4POB3H/dg95KkHSYuU","10303"
"Xznx7upyyKb","10304 Mapya Dudhkoshi Rural Municipality","Mapya Dudhkoshi Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/Wep3D4POB3H/Xznx7upyyKb","10304"
"pyw6x7rguen","10305 Thulung Dudhkoushi Rural Municipality","Thulung Dudhkoushi Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/Wep3D4POB3H/pyw6x7rguen","10305"
"BnMyon9qUaj","10306 Necha Salyan Rural Municipality","Necha Salyan Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/Wep3D4POB3H/BnMyon9qUaj","10306"
"Vkv9B89Tu0q","10307 Solu Dudhakunda Municipality","Solu Dudhakunda Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/Wep3D4POB3H/Vkv9B89Tu0q","10307"
"UCZF0J5XCSS","10308 Likhu Pike Rural Municipality","Likhu Pike Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/Wep3D4POB3H/UCZF0J5XCSS","10308"
"Wx8c91bQTKe","10401 Chishankhu Gadhi Rural Municipality","Chishankhu Gadhi Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/B7X957nA1lM/Wx8c91bQTKe","10401"
"eyOgs1AMLWG","10402 Siddhicharan Municipality","Siddhicharan Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/B7X957nA1lM/eyOgs1AMLWG","10402"
"hnu4RFrMbXo","10403 Molung Rural Municipality","Molung Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/B7X957nA1lM/hnu4RFrMbXo","10403"
"n0ICenUQAGj","10404 Khiji Demba Rural Municipality","Khiji Demba Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/B7X957nA1lM/n0ICenUQAGj","10404"
"tmwWqpt7zGE","10405 Likhu Rural Municipality","Likhu Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/B7X957nA1lM/tmwWqpt7zGE","10405"
"xh6T1nEbcgU","10406 Champadevi Rural Municipality","Champadevi Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/B7X957nA1lM/xh6T1nEbcgU","10406"
"DrH1J7KIk4g","10407 Sunkoshi Rural Municipality","Sunkoshi Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/B7X957nA1lM/DrH1J7KIk4g","10407"
"jMeH7np95YE","10408 Manebhanjyang Rural Municipality","Manebhanjyang Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/B7X957nA1lM/jMeH7np95YE","10408"
"WuW2eIQKEEM","10501 Kepilasgadhi Rural Municipality","Kepilasgadhi Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/WuW2eIQKEEM","10501"
"wFTDjO00OIR","10502 Aiselukharka Rural Municipality","Aiselukharka Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/wFTDjO00OIR","10502"
"BiWa3iUtHtP","10503 Rawabesi Rural Municipality","Rawabesi Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/BiWa3iUtHtP","10503"
"dbU0Qrz64BG","10504 Halesi Tuwachung Municipality","Halesi Tuwachung Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/dbU0Qrz64BG","10504"
"Fen9qMN7huE","10505 Diktel Rupakot Majhuwagadhi Municipality","Diktel Rupakot Majhuwagadhi Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/Fen9qMN7huE","10505"
"PAcfAwNtnry","10506 Sakela Rural Municipality","Sakela Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/PAcfAwNtnry","10506"
"l6h4020yfj1","10507 Diprung Chuichumma Rural Municipality","Diprung Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/l6h4020yfj1","10507"
"UXz6AH8q6LY","10508 Khotehang Rural Municipality","Khotehang Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/UXz6AH8q6LY","10508"
"XJcmAfNk3tE","10509 Jante Dhunga Rural Municipality","Jante Dhunga Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/XJcmAfNk3tE","10509"
"QVOGCoPM6yb","10510 Baraha Pokhari Rural Municipality","Baraha Pokhari Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/LnJ8MTOmgGa/QVOGCoPM6yb","10510"
"FNsPCtVEyoG","10601 Shadananda Municipality","Shadananda Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/hasbXH0dTqM/FNsPCtVEyoG","10601"
"Aw6XiZcTpyl","10602 Salpa Silichho Rural Municipality","Salpa Silichho Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/hasbXH0dTqM/Aw6XiZcTpyl","10602"
"bcA7xbjb8bV","10603 Tyamke Maiyum Rural Municipality","Tyamke Maiyum Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/hasbXH0dTqM/bcA7xbjb8bV","10603"
"QIsDAg98UTi","10604 Bhojpur Municipality","Bhojpur Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/hasbXH0dTqM/QIsDAg98UTi","10604"
"PPGIT7pWlmR","10605 Arun Rural Municipality","Arun Rural Municipality","/cCTQiGkKcTk/RVc3XoVoNRf/hasbXH0dTqM/PPGIT7pWlmR","10605"
